NOMBRE,TIPO,LATITUD,LONGITUD,DIRECCION
CARIMAGUA 1ER SECTOR,Deporte,4.61073728358833,-74.1458725169069,Calle 39 Sur # 72 K 02
TINTAL II,Deporte,4.64976320469968,-74.1619367322515,Calle 6 Bis # 90 A 80 Torres de Tintala 2
RIVERAS DE OCCIDENTE ACUERDO FDLK,Deporte,4.6434404,-74.1682472,Calle 35A # 92B - 21
BOITA,Deporte,4.60260985135844,-74.1526285053011,CALLE 48B SUR # 72K - 13
SUPER 7 ALK,Deporte,4.62507686726361,-74.1494918071547,CARRERA 78D · 35 18 SUR
BELLA VISTA DINDALITO,Deporte,4.64510196989678,-74.1742966610565,CALLE 42 SUR # 94B-15
SALONCOMUNAL BARRIO JACKELINE,Deporte,4.60947546049386,-74.1625981206461,CALLE 45 A SUR 77 Q - 51
CAMILO TORRES,Deporte,4.617342,-74.1476199,DIAGONAL 37D SUR CON CARRERA 73 A BIS
CASA BLANCA,Deporte,4.6178490156735,-74.1477127476286,CALLE 47B SUR # 15
GIRALDILLA 1ER SECTOR,Deporte,4.6134361005722,-74.1654680899563,CARRERA 78G BIS # 47B 24 SUR
IGLESIA SAN JUAN DE LA CRUZ,Deporte,4.62042293385362,-74.1631765420413,CARRERA 79B # 42C 26 SUR
SUPER MANZANA 6 PRIORIZADO FDLK,Deporte,4.61952268175683,-74.1502747702335,CALLE 38 D SURCON TRANSVERSAL 73F
PARQUES DE CASTILLA 4,Deporte,4.64574147349629,-74.1396482783185,CARRERA 79 # 10D 95
"PARQUE MARGARITAS 
CARMELO",Deporte,4.62530903058812,-74.1727201783185,CALLE 47 A SUR # 82
NUEVA CASTILLA,Deporte,4.65189877171467,-74.1512944918097,CALLE 88D ·# 8C 21
ROMA 4,Deporte,4.60752850783446,-74.1725491071548,CARRERA 78 57C SUR
"NUEVA MARSELLA
PARQUE EL TRIANGULO",Deporte,4.62311219216003,-74.1437702476286,TRANSVERSAL 73B BIS· 2
ANDA LUCIA,Deporte,4.65441980369662,-74.1364860629734,CALLE 15 A # 81 - 71
PARQUE LA MAGDALENA 2,Deporte,4.65444009060633,-74.1586321494821,"CARRERA 94 ESQUINA CALLE 7, KENNEDY BOGOTA"
PARQUE DINDALITO BELLAVISTA,Deporte,4.64427864198076,-74.1747042764647,CALLE 42 SUR # 94B-15
PIO XII,Deporte,4.63613877000541,-74.1504143899562,CALLE 6 B # 79 c 81
RIVERAS DE OCCIDENTE,Deporte,4.64346646189388,-74.1683174662717,CARRERA 91 BIS #35A SUR
PARQUE CASTILLA,Deporte,4.63854547595339,-74.1455064472459,CALLE. 7a Bis C #78h29
LICEO PIÑEROS CORTES,Deporte,4.62502340386214,-74.1434219783184,"Cl. 2 Bis #73c55, Bogotá"
COLEGIO INEM,Deporte,4.62537260988548,-74.1559124476287,"Calle 38c Sur #79-08 a, Cl. 38c Sur #78p-2, Kennedy, Bogotá"
PARQUE PRINCIPAL TECHO,Deporte,4.62624688523689,-74.1473038476287,"CARRERA. 78B #06 SUR-05,"
CATALINA 1,Deporte,4.60999547205289,-74.1697543053011,CARRERA 77 V BIS A 54 A SUR
VALENCIA BOMBAY,Deporte,4.60848010671103,-74.1447511490731,CALLE 39 b SUR #72h-28
PARQUE LA MAGDALENA 2,Deporte,4.65445078408428,-74.1586106937033,"CARRERA 94 ESQUINA CALLE 7, KENNEDY BOGOTA"
UNIR 1 JORNADA TARDE,Deporte,4.64534394161545,-74.1674314225396,CARRERA 91C # 34 SUR
GILMA JIMENEZ,Deporte,4.62318147395839,-74.1757359937035,CALLE 51 A SUR N 82 A 16
BELLA VISTA DINDALITO MENORES JORNADA MAÑANA,Deporte,4.64418239951824,-74.1746828206863,CALLE 42 SUR # 94B-15
BELLA VISTA DINDALITO MENORES A,Deporte,4.64425725478621,-74.1746828206863,CALLE 42 SUR # 94B-15
BELLA VISTA DINDALITO MAYORES A,Deporte,4.64424656117699,-74.1747471937035,CALLE 42 SUR # 94B-15
PARQUE TIMIZA CANCHA FUTBOL 8,Deporte,4.61009016030375,-74.1533833225398,"Cl. 40h Sur #72r, Bogotá"
PARQUE LA ALEJANDRA,Deporte,4.60579843673233,-74.1483043441809,"Cra. 72 I # a, Bogotá"
PARQUE VILLA DE LOS SAUCES,Deporte,4.60520359098878,-74.175760707195,
PARQUE LAS LUCES VILLA RICA,Deporte,4.60614847910738,-74.1685426783588,CALLE 52A SUR #77K BIS
PARQUE LAS LUCES VILLA RICA,Deporte,4.60614847910738,-74.1685426783588,CALLE 52A SUR #77K BIS
AMERICAS OCCIDENTAL,Deporte,4.62154959863051,-74.1398638225397,Cl. 2a Sur # 72-70
UNIR 1 JORNADA MAÑANA,Deporte,4.64534394161545,-74.1673026765052,CARRERA 91C # 34 SUR
PARQUE LINEAL NUEVA CASTILLA JUVENILES,Deporte,4.65130625892053,-74.1512399053413,"Ak 88d #8C-21, Kennedy, Bogotá"
PARQUE DESARROLLO VILLA ANDRES,Deporte,4.63766996327598,-74.1679280071948,CARRERA 88 C BIS # 40 A SUR
CAYETANO CAÑIZARES,Deporte,4.62683028581071,-74.1615536410799,"Cra. 80 #40 55 Sur, Bogotá"
"CARVAL CAMPO DE FUTBOL
ADMI",Deporte,4.61535861682529,-74.1355671090484,"Cl. 25 Sur #69c-2, Bogotá"
