clase_fa,archivos,lucide_propuesto,confianza,revisar_a_mano,ejemplos
fa-folder-tree,3,FolderTree,exacto,no,frontend/src/app/features/presupuesto/oficial-lista.component.ts | frontend/src/app/features/presupuesto/presupuesto-hub.component.ts
fa-gauge-high,3,,sin-candidato,sí,frontend/src/app/features/presupuesto/presupuesto-detail.component.ts | frontend/src/app/features/presupuesto/presupuesto-entidad.component.ts
fa-home,3,,sin-candidato,sí,frontend/src/app/core/layout/breadcrumb/breadcrumb.component.ts | frontend/src/app/core/layout/sidebar/sidebar.component.ts
fa-inbox,3,Inbox,exacto,no,frontend/src/app/features/festivales/festival-detalle.component.ts | frontend/src/app/features/presupuesto/actividades-subgrupo.component.ts
fa-lightbulb,3,Lightbulb,exacto,no,apps/login/services/captura_schema.py | core/settings.py
fa-map-location-dot,3,,sin-candidato,sí,frontend/src/app/features/eventos/evento-form.component.ts | frontend/src/app/features/infraestructura/infra-detalle.component.ts
fa-map-pin,3,MapPin,exacto,no,frontend/src/app/features/eventos/evento-form.component.ts | frontend/src/app/features/infraestructura/infra-detalle.component.ts
fa-pen,3,Pen,exacto,no,frontend/src/app/features/cursos/curso-detalle.component.ts | frontend/src/app/features/festivales/festival-detalle.component.ts
fa-people-group,3,,sin-candidato,sí,apps/login/services/captura_schema.py | frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-shield,3,Shield,exacto,no,frontend/src/app/features/publico/entregas-publico.component.ts | frontend/src/app/features/publico/info-terreno-publico.component.ts
fa-signature,3,Signature,exacto,no,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/entregas/entrega-detail.component.ts
fa-star,3,Star,exacto,no,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/festivales/festival-evaluacion.component.ts
fa-times-circle,3,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/entregas/entrega-detail.component.ts
fa-warning,3,,sin-candidato,sí,frontend/src/app/features/publico/entregas-publico.component.ts | frontend/src/app/features/publico/info-terreno-publico.component.ts
fa-arrow-trend-up,2,,sin-candidato,sí,frontend/src/app/features/presupuesto/presupuesto-detail.component.ts | frontend/src/app/features/presupuesto/presupuesto-entidad.component.ts
fa-ban,2,Ban,exacto,no,frontend/src/app/features/captura/captura-list.component.ts | frontend/src/app/features/presupuesto/presupuesto-detail.component.ts
fa-calendar-plus,2,CalendarPlus,exacto,no,frontend/src/app/features/cursos/curso-detalle.component.ts | frontend/src/app/features/festivales/festival-detalle.component.ts
fa-chalkboard-user,2,Presentation,sinonimo,sí,apps/presupuesto/services/modulos_area.py | frontend/src/app/features/cursos/curso-detalle.component.ts
fa-chevron-up,2,ChevronUp,exacto,no,frontend/src/app/features/presupuesto/actividades-subgrupo.component.ts | frontend/src/app/features/votaciones/votaciones-detail.component.ts
fa-circle-check,2,CircleCheck,exacto,no,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/shared/ui/toast-host.component.ts
fa-circle-play,2,CirclePlay,exacto,no,frontend/src/app/features/votaciones/votaciones-detail.component.ts | frontend/src/app/features/votaciones/votaciones-list.component.ts
fa-copy,2,Copy,exacto,no,frontend/src/app/features/eventos/evento-qr.component.ts | frontend/src/app/features/festivales/festival-detalle.component.ts
fa-dove,2,,sin-candidato,sí,apps/caracterizacion/sectores.py | frontend/src/app/features/caracterizacion/caracterizacion.types.ts
fa-download,2,Download,exacto,no,frontend/src/app/features/festivales/festival-biblioteca.component.ts | frontend/src/app/features/festivales/festival-detalle.component.ts
fa-file-pdf,2,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/cursos/curso-detalle.component.ts
fa-floppy-disk,2,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/festivales/festival-detalle.component.ts
fa-futbol,2,Volleyball,sinonimo,sí,apps/presupuesto/services/modulos_area.py | frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-futbol-o,2,,sin-candidato,sí,frontend/src/app/features/publico/caracterizacion-publico.component.ts | frontend/src/app/features/publico/entregas-publico.component.ts
fa-globe,2,Globe,exacto,no,frontend/src/app/features/festivales/festival-detalle.component.ts | frontend/src/app/features/festivales/festivales-list.component.ts
fa-hands-helping,2,,sin-candidato,sí,apps/caracterizacion/sectores.py | frontend/src/app/features/admin/admin-org.component.ts
fa-heart,2,Heart,exacto,no,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/publico/caracterizacion-publico.component.ts
fa-id-badge,2,,sin-candidato,sí,frontend/src/app/core/layout/topbar/topbar.component.html | frontend/src/app/features/votaciones/votaciones-detail.component.ts
fa-magnifying-glass,2,Search,sinonimo,sí,frontend/src/app/features/ia/ia.component.ts | frontend/src/app/features/votaciones/votaciones-votantes.component.ts
fa-map-marker,2,,sin-candidato,sí,frontend/src/app/features/publico/info-terreno-publico.component.ts | frontend/src/app/features/publico/inscripcion-publico.component.ts
fa-masks-theater,2,,sin-candidato,sí,frontend/src/app/features/festivales/festival-detalle.component.ts | frontend/src/app/features/publico/festival-percepcion-publico.component.ts
fa-palette,2,Palette,exacto,no,apps/presupuesto/services/modulos_area.py | frontend/src/app/core/layout/sidebar/sidebar.component.ts
fa-pause,2,Pause,exacto,no,frontend/src/app/features/votaciones/votaciones-detail.component.ts | frontend/src/app/features/votaciones/votaciones-list.component.ts
fa-pen-to-square,2,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/cursos/curso-detalle.component.ts
fa-running,2,,sin-candidato,sí,apps/caracterizacion/sectores.py | frontend/src/app/features/caracterizacion/caracterizacion.types.ts
fa-sign-in-alt,2,,sin-candidato,sí,frontend/src/app/core/layout/topbar/topbar.component.html | frontend/src/app/features/auth/login.component.ts
fa-table-list,2,,sin-candidato,sí,frontend/src/app/features/presupuesto/presupuesto-detail.component.ts | frontend/src/app/features/presupuesto/presupuesto-entidad.component.ts
fa-tree,2,,sin-candidato,sí,frontend/src/app/features/infraestructura/infra-detalle.component.ts | frontend/src/app/features/infraestructura/infra-panel.component.ts
fa-truck,2,Truck,exacto,no,frontend/src/app/features/admin/admin-org.component.ts | frontend/src/app/features/publico/entregas-publico.component.ts
fa-up-right-from-square,2,,sin-candidato,sí,frontend/src/app/features/eventos/evento-qr.component.ts | frontend/src/app/features/presupuesto/actividades-subgrupo.component.ts
